                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3323,                 3.6472,                 1.6614,                0.75165,                0.16928,                0.22531,                0.14137,                 1.5976,                 4.4758,                 1.9846,             0.00020285,             0.00020285,             0.00020285
                      2,                 1.3447,                 2.8079,                 1.6425,                0.23943,                0.24417,                0.21681,                0.11973,                  1.962,                 3.5906,                 2.4467,             0.00040711,             0.00040711,             0.00040711
                      3,                 1.3793,                 2.5324,                 1.6568,                0.95353,                0.13693,                0.22708,                0.12569,                 1.8903,                 8.3428,                  2.698,             0.00060725,             0.00060725,             0.00060725
                      4,                 1.5146,                 2.7396,                 1.7839,                 0.3653,                0.21931,                0.17617,                0.07059,                 2.2457,                 9.3896,                 2.9961,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.5027,                 2.6158,                 1.7653,                0.50908,                0.21822,                0.15004,                0.06522,                 2.3505,                 5.0052,                 2.7319,             0.00060644,             0.00060644,             0.00060644
                      6,                 1.5056,                  2.572,                 1.7791,                0.26112,                 0.4032,                0.28149,                0.16173,                 1.7458,                 3.7186,                 2.2667,             0.00060025,             0.00060025,             0.00060025
                      7,                 1.4206,                 2.4019,                 1.6961,                0.32431,                0.38753,                0.28408,                0.15413,                  1.889,                 3.5923,                 2.2561,             0.00059406,             0.00059406,             0.00059406
                      8,                 1.3649,                 2.3172,                  1.646,                0.37283,                0.34409,                0.32653,                0.18468,                 1.6265,                 3.1171,                 2.0656,             0.00058787,             0.00058787,             0.00058787
                      9,                 1.3592,                 2.2623,                 1.6351,                0.31992,                0.36581,                0.28831,                0.16942,                  1.776,                 3.7042,                 2.2088,             0.00058169,             0.00058169,             0.00058169
                     10,                 1.3396,                 2.0897,                 1.6237,                0.68635,                0.35231,                 0.4594,                0.25291,                 1.6651,                 3.1006,                 2.0402,              0.0005755,              0.0005755,              0.0005755
                     11,                 1.3347,                 2.1329,                 1.5988,                 0.4731,                0.40687,                0.39474,                0.20706,                 1.7988,                  3.302,                 2.1799,             0.00056931,             0.00056931,             0.00056931
                     12,                  1.362,                 2.1139,                 1.6361,                0.44755,                0.49013,                0.42281,                0.25172,                 1.6657,                 2.4413,                 2.0361,             0.00056313,             0.00056313,             0.00056313
                     13,                 1.3247,                 1.9835,                 1.5851,                 0.5537,                0.44635,                0.48505,                 0.2934,                 1.4762,                 2.2388,                 1.8488,             0.00055694,             0.00055694,             0.00055694
                     14,                 1.2527,                 1.8844,                 1.5255,                0.43882,                0.52265,                0.46734,                0.29236,                 1.4734,                 2.2368,                 1.8901,             0.00055075,             0.00055075,             0.00055075
                     15,                 1.2203,                 1.8578,                 1.5269,                 0.5507,                0.59242,                0.53909,                0.33448,                 1.4422,                 2.4909,                 1.7862,             0.00054456,             0.00054456,             0.00054456
                     16,                  1.211,                 1.8533,                 1.5044,                0.54461,                0.57538,                0.59514,                0.35641,                 1.5472,                 1.9011,                 1.9008,             0.00053838,             0.00053838,             0.00053838
                     17,                 1.1718,                 1.7441,                 1.4706,                0.63336,                0.61658,                0.63673,                0.37475,                 1.4244,                 1.7097,                 1.7807,             0.00053219,             0.00053219,             0.00053219
                     18,                 1.1546,                 1.6874,                 1.4713,                0.59524,                0.61235,                0.64386,                0.39183,                 1.3133,                   1.74,                 1.6686,               0.000526,               0.000526,               0.000526
                     19,                 1.0907,                 1.6152,                 1.4361,                0.55958,                0.49884,                0.58191,                0.35796,                 1.3613,                 2.0274,                 1.7458,             0.00051981,             0.00051981,             0.00051981
                     20,                 1.1075,                 1.5642,                 1.4275,                0.71543,                0.66211,                0.70536,                0.43786,                 1.2664,                 1.5346,                 1.6125,             0.00051363,             0.00051363,             0.00051363
                     21,                 1.1095,                 1.5226,                 1.4144,                0.75756,                0.66292,                0.72547,                0.48857,                 1.1727,                 1.4722,                 1.5277,             0.00050744,             0.00050744,             0.00050744
                     22,                 1.1033,                 1.5857,                 1.4258,                0.77187,                0.59514,                0.68686,                0.43902,                 1.1836,                 1.5629,                 1.5476,             0.00050125,             0.00050125,             0.00050125
                     23,                 1.0937,                 1.5621,                 1.4104,                0.62232,                0.56378,                0.61743,                0.38353,                  1.403,                 1.7353,                 1.7697,             0.00049506,             0.00049506,             0.00049506
                     24,                 1.0413,                 1.4481,                 1.3873,                0.72865,                0.65831,                0.71373,                0.48579,                 1.2046,                  1.414,                 1.6047,             0.00048888,             0.00048888,             0.00048888
                     25,                 1.0437,                 1.3752,                 1.3654,                0.71088,                0.66868,                0.71475,                 0.4772,                 1.2202,                 1.3407,                 1.5682,             0.00048269,             0.00048269,             0.00048269
                     26,                 1.0467,                 1.4075,                 1.3698,                0.63149,                0.69365,                0.71212,                0.48403,                 1.1641,                 1.3452,                 1.5018,              0.0004765,              0.0004765,              0.0004765
                     27,                0.98973,                  1.326,                 1.3424,                0.72321,                0.66001,                0.73058,                0.46996,                 1.2226,                 1.5861,                 1.6183,             0.00047031,             0.00047031,             0.00047031
                     28,                0.98009,                 1.3579,                 1.3469,                0.73248,                0.66165,                 0.7224,                0.49839,                 1.2237,                  1.348,                 1.6258,             0.00046413,             0.00046413,             0.00046413
                     29,                0.93798,                 1.2662,                 1.3107,                0.72554,                0.70585,                0.76019,                0.52507,                 1.1231,                   1.24,                  1.462,             0.00045794,             0.00045794,             0.00045794
                     30,                 0.9793,                 1.2999,                 1.3281,                0.74865,                0.71604,                0.78598,                0.50657,                 1.1756,                 1.3426,                 1.4918,             0.00045175,             0.00045175,             0.00045175
                     31,                0.93923,                 1.2396,                  1.298,                0.79495,                0.64757,                0.72702,                0.51253,                 1.1763,                 1.4656,                 1.5624,             0.00044556,             0.00044556,             0.00044556
                     32,                0.91408,                 1.2339,                 1.2992,                0.84191,                0.65475,                0.78627,                0.56533,                 1.0738,                 1.2404,                 1.4267,             0.00043937,             0.00043937,             0.00043937
                     33,                0.92397,                  1.225,                 1.2845,                0.80075,                0.78144,                0.82855,                0.58865,                 1.0315,                 1.1477,                 1.4148,             0.00043319,             0.00043319,             0.00043319
                     34,                 0.9117,                 1.1934,                  1.275,                0.75395,                0.73179,                0.77873,                0.57507,                 1.0171,                 1.1375,                 1.3722,               0.000427,               0.000427,               0.000427
                     35,                 0.9065,                 1.0825,                 1.2586,                 0.8075,                 0.7375,                0.80019,                 0.5919,                0.97046,                 1.0831,                 1.3613,             0.00042081,             0.00042081,             0.00042081
                     36,                 0.9005,                 1.1225,                 1.2706,                0.81301,                0.78435,                0.81291,                0.58486,                 1.0323,                 1.0654,                  1.402,             0.00041462,             0.00041462,             0.00041462
                     37,                0.88025,                  1.085,                 1.2497,                0.78847,                0.76006,                0.81557,                0.57601,                 1.1523,                 1.0324,                 1.5152,             0.00040844,             0.00040844,             0.00040844
                     38,                 0.8467,                  1.057,                 1.2564,                0.79882,                0.74065,                0.80711,                0.59728,                 1.0514,                 1.1236,                 1.4346,             0.00040225,             0.00040225,             0.00040225
                     39,                0.82927,                 1.0285,                 1.2155,                0.83985,                0.80635,                0.84443,                 0.6123,                 1.0299,                0.99936,                 1.4439,             0.00039606,             0.00039606,             0.00039606
                     40,                0.82372,                0.98203,                  1.216,                0.80775,                0.78501,                0.84081,                0.62151,                0.97422,                 1.0185,                 1.3391,             0.00038988,             0.00038988,             0.00038988
                     41,                0.83871,                0.99542,                  1.221,                0.81094,                0.82154,                 0.8156,                0.61243,                0.98187,                 1.0618,                 1.3403,             0.00038369,             0.00038369,             0.00038369
                     42,                0.80953,                0.97884,                 1.2128,                0.81385,                0.76774,                0.84022,                 0.6431,                0.96767,                0.92835,                 1.3605,              0.0003775,              0.0003775,              0.0003775
                     43,                0.82759,                0.98521,                 1.2138,                0.83393,                0.77024,                0.83644,                 0.6397,                0.91565,                 0.9885,                  1.301,             0.00037131,             0.00037131,             0.00037131
                     44,                0.79076,                0.94812,                 1.2009,                 0.8621,                0.79572,                0.86793,                0.65333,                0.90225,                0.89942,                 1.3148,             0.00036513,             0.00036513,             0.00036513
                     45,                  0.787,                 0.9614,                 1.1848,                0.86236,                0.78165,                0.85247,                0.65597,                0.93622,                0.92218,                 1.3418,             0.00035894,             0.00035894,             0.00035894
                     46,                0.75384,                0.93087,                 1.1992,                0.88732,                0.80577,                0.85497,                0.66444,                0.90131,                0.90485,                  1.329,             0.00035275,             0.00035275,             0.00035275
                     47,                0.77435,                 0.9395,                 1.1862,                0.84762,                0.80872,                0.86361,                0.67856,                0.88987,                0.87017,                 1.2902,             0.00034656,             0.00034656,             0.00034656
                     48,                0.74981,                0.88601,                 1.1711,                0.83778,                0.80479,                0.83894,                0.67385,                0.87842,                0.91234,                 1.2885,             0.00034038,             0.00034038,             0.00034038
                     49,                0.73056,                0.85555,                 1.1596,                0.85261,                0.83438,                0.85542,                0.69103,                0.83133,                0.85964,                 1.2473,             0.00033419,             0.00033419,             0.00033419
                     50,                0.71281,                 0.8455,                 1.1432,                0.86238,                0.82769,                0.85483,                0.68638,                 0.8825,                0.84262,                    1.3,               0.000328,               0.000328,               0.000328
                     51,                0.73797,                0.86143,                 1.1591,                0.88053,                0.84249,                0.87168,                0.69604,                0.81779,                0.80522,                 1.2562,             0.00032181,             0.00032181,             0.00032181
                     52,                0.69519,                0.79096,                  1.138,                0.85225,                 0.8289,                0.87017,                0.68833,                0.86191,                0.83602,                  1.282,             0.00031562,             0.00031562,             0.00031562
                     53,                0.68799,                0.79435,                 1.1281,                0.83109,                0.83074,                0.86768,                0.70404,                0.80903,                0.82442,                 1.2467,             0.00030944,             0.00030944,             0.00030944
                     54,                0.72136,                0.84899,                 1.1517,                0.86429,                0.85421,                0.87208,                0.70897,                0.82235,                0.76261,                 1.2558,             0.00030325,             0.00030325,             0.00030325
                     55,                0.68422,                 0.7756,                 1.1239,                0.83327,                 0.8532,                0.85531,                0.68392,                 0.8644,                0.80196,                 1.3023,             0.00029706,             0.00029706,             0.00029706
                     56,                0.66771,                0.75712,                 1.1154,                0.83792,                0.88268,                0.87288,                0.69655,                0.80948,                0.80118,                  1.257,             0.00029088,             0.00029088,             0.00029088
                     57,                0.65639,                0.73697,                 1.1057,                 0.8664,                0.86465,                0.88022,                0.71915,                0.78035,                0.72957,                 1.2083,             0.00028469,             0.00028469,             0.00028469
                     58,                0.64789,                0.73536,                 1.0929,                0.87856,                0.85474,                0.88858,                0.71951,                0.81393,                0.74877,                 1.2345,              0.0002785,              0.0002785,              0.0002785
                     59,                0.64583,                0.73824,                 1.1089,                0.91235,                0.79519,                0.87921,                0.71308,                 0.8272,                0.74213,                 1.2277,             0.00027231,             0.00027231,             0.00027231
                     60,                0.65964,                 0.7569,                 1.1194,                0.84141,                0.86061,                  0.878,                0.69789,                0.86545,                0.75895,                 1.2872,             0.00026613,             0.00026613,             0.00026613
                     61,                0.65865,                0.71325,                 1.1127,                0.88847,                 0.8358,                0.87705,                 0.6975,                0.81413,                0.77046,                 1.2364,             0.00025994,             0.00025994,             0.00025994
                     62,                0.64262,                0.72546,                 1.0868,                 0.8969,                0.81116,                0.87172,                0.71329,                0.77333,                 0.7755,                 1.2232,             0.00025375,             0.00025375,             0.00025375
                     63,                0.62134,                0.69687,                 1.0894,                0.89875,                0.88297,                0.89617,                0.74363,                0.75461,                0.70942,                 1.2219,             0.00024756,             0.00024756,             0.00024756
                     64,                0.61177,                 0.6596,                 1.0766,                0.89852,                0.83904,                0.88416,                0.73251,                0.78688,                0.71527,                 1.2558,             0.00024137,             0.00024137,             0.00024137
                     65,                0.62046,                0.67544,                  1.079,                0.83081,                 0.8451,                0.86974,                0.72473,                0.76134,                0.71221,                 1.2113,             0.00023519,             0.00023519,             0.00023519
                     66,                0.59606,                0.66869,                 1.0783,                0.82421,                  0.869,                0.87569,                0.73267,                0.76253,                0.75849,                   1.19,               0.000229,               0.000229,               0.000229
                     67,                0.59575,                0.61893,                 1.0727,                0.85242,                0.87419,                0.87719,                0.72697,                0.72112,                0.73935,                 1.1682,             0.00022281,             0.00022281,             0.00022281
                     68,                 0.5776,                0.65771,                 1.0641,                0.88007,                0.84663,                0.87403,                0.73367,                0.72605,                0.71809,                 1.1788,             0.00021662,             0.00021662,             0.00021662
                     69,                0.55972,                0.63743,                 1.0582,                0.89199,                0.88517,                 0.8853,                0.75347,                0.71793,                0.69342,                 1.1782,             0.00021044,             0.00021044,             0.00021044
                     70,                0.55764,                0.61485,                 1.0427,                0.85955,                0.89792,                0.89284,                0.75292,                 0.7326,                0.66319,                 1.1695,             0.00020425,             0.00020425,             0.00020425
                     71,                0.55801,                0.60366,                 1.0514,                0.89427,                0.87452,                0.88379,                0.75377,                 0.7222,                0.66422,                 1.1829,             0.00019806,             0.00019806,             0.00019806
                     72,                0.55688,                0.60016,                 1.0469,                0.89592,                 0.8824,                0.89206,                0.75978,                0.72659,                0.61863,                 1.1899,             0.00019188,             0.00019188,             0.00019188
                     73,                0.51091,                0.56834,                 1.0188,                0.85157,                0.89866,                 0.8905,                0.75396,                0.70861,                0.65194,                 1.1711,             0.00018569,             0.00018569,             0.00018569
                     74,                0.55168,                0.61879,                 1.0472,                0.87147,                0.86635,                0.88265,                0.76044,                0.68587,                0.65203,                 1.1527,              0.0001795,              0.0001795,              0.0001795
                     75,                0.51426,                0.55643,                 1.0371,                0.89822,                0.84738,                0.88407,                 0.7567,                 0.6677,                0.65864,                 1.1559,             0.00017331,             0.00017331,             0.00017331
                     76,                0.52511,                0.62551,                 1.0451,                0.90834,                0.87274,                0.88783,                0.75415,                0.69577,                0.63393,                 1.1945,             0.00016713,             0.00016713,             0.00016713
                     77,                0.53362,                0.54958,                 1.0295,                0.92126,                 0.8682,                0.89619,                0.75658,                0.69204,                0.61038,                 1.1887,             0.00016094,             0.00016094,             0.00016094
                     78,                 0.4877,                0.53022,                 1.0066,                0.89954,                0.84772,                0.88309,                0.76173,                0.68121,                0.60598,                 1.1697,             0.00015475,             0.00015475,             0.00015475
                     79,                0.50647,                0.54449,                 1.0253,                0.89742,                0.88544,                0.88648,                0.75244,                 0.6814,                0.58336,                 1.1538,             0.00014856,             0.00014856,             0.00014856
                     80,                0.48538,                0.54033,                  1.003,                 0.8817,                0.87988,                 0.8875,                0.76427,                0.65942,                0.58671,                 1.1234,             0.00014237,             0.00014237,             0.00014237
                     81,                0.50438,                0.54922,                 1.0116,                0.89864,                0.87663,                0.89099,                0.77129,                0.67413,                0.57401,                 1.1698,             0.00013619,             0.00013619,             0.00013619
                     82,                0.46568,                0.52795,                 1.0119,                0.91138,                0.85985,                0.88312,                0.77617,                0.64044,                 0.5962,                 1.1243,                0.00013,                0.00013,                0.00013
                     83,                0.47455,                0.53028,                 1.0149,                0.89893,                0.83441,                0.87885,                0.77395,                 0.6562,                0.59094,                 1.1516,             0.00012381,             0.00012381,             0.00012381
                     84,                 0.4811,                0.52126,                 1.0187,                0.90266,                0.86399,                0.88824,                 0.7806,                0.63259,                0.54762,                 1.1314,             0.00011763,             0.00011763,             0.00011763
                     85,                0.46377,                0.48949,                0.99629,                0.90535,                0.87662,                0.89279,                0.78766,                 0.6333,                 0.5917,                 1.1208,             0.00011144,             0.00011144,             0.00011144
                     86,                0.46149,                0.44753,                0.99615,                0.88333,                0.89121,                0.89694,                0.79353,                 0.6182,                0.55991,                 1.1093,             0.00010525,             0.00010525,             0.00010525
                     87,                0.44714,                0.46997,                0.98897,                0.90089,                0.88375,                0.89952,                0.79645,                0.62086,                0.54292,                 1.1405,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                0.45334,                0.47815,                0.99487,                0.90061,                0.88014,                0.89911,                0.79754,                0.60727,                0.52873,                 1.1093,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                0.43522,                0.47157,                0.98397,                0.91672,                0.86346,                0.89524,                0.79927,                0.60487,                0.56827,                 1.1151,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                0.43715,                0.45768,                0.98457,                0.89032,                0.86016,                0.88905,                0.79645,                 0.6017,                0.59033,                 1.1192,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                0.34126,                0.32989,                0.92526,                0.89334,                0.85592,                0.88091,                0.77259,                0.61725,                0.58838,                 1.1296,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                0.33468,                0.30173,                0.92634,                0.90906,                0.83787,                0.88952,                0.78274,                0.60661,                0.58131,                 1.1347,             6.8125e-05,             6.8125e-05,             6.8125e-05
