                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.20989,                0.90415,                0.95187,                0.45322,                0.86571,                0.48658,                  0.418,                0.47902,                0.99621,                0.73863,             0.00031578,             0.00031578,             0.00031578
                     37,                  0.201,                0.90185,                0.95315,                0.44712,                0.87653,                0.49285,                0.42395,                0.48968,                 1.0251,                0.75971,             0.00031107,             0.00031107,             0.00031107
                     38,                0.20772,                0.90835,                0.95208,                0.45401,                   0.89,                0.49252,                0.42681,                0.44497,                 1.0386,                0.68601,             0.00030635,             0.00030635,             0.00030635
                     39,                0.20251,                0.89532,                0.95167,                0.44342,                0.88541,                0.49643,                0.42905,                0.43337,                0.98152,                0.68501,             0.00030164,             0.00030164,             0.00030164
                     40,                0.19702,                0.89393,                0.94444,                0.45744,                 0.8595,                0.47747,                0.41129,                0.44982,                 1.0333,                0.68024,             0.00029693,             0.00029693,             0.00029693
                     41,                0.19787,                0.89042,                0.94708,                0.46552,                0.88417,                0.49626,                0.42606,                0.47007,                0.99247,                  0.719,             0.00029222,             0.00029222,             0.00029222
                     42,                 0.1926,                0.88152,                0.94197,                0.45379,                0.89087,                0.49307,                0.42658,                0.42232,                0.98766,                0.65025,              0.0002875,              0.0002875,              0.0002875
                     43,                0.19194,                0.88629,                0.94403,                 0.4658,                0.86587,                0.49324,                0.43953,                0.41992,                 1.0121,                0.64812,             0.00028279,             0.00028279,             0.00028279
                     44,                0.18963,                0.88277,                0.94323,                0.46579,                0.89739,                0.50039,                0.42706,                0.41936,                0.98567,                0.64602,             0.00027808,             0.00027808,             0.00027808
                     45,                0.19421,                0.87669,                0.94537,                0.45967,                0.89229,                 0.5035,                 0.4437,                 0.4358,                0.97975,                0.69697,             0.00027337,             0.00027337,             0.00027337
                     46,                0.18719,                0.87995,                0.94236,                  0.456,                0.84952,                0.47896,                0.42506,                0.42323,                 1.0006,                0.66345,             0.00026865,             0.00026865,             0.00026865
                     47,                0.18198,                0.86664,                0.93996,                0.46457,                0.86211,                0.50107,                0.43999,                0.41197,                0.95476,                0.64762,             0.00026394,             0.00026394,             0.00026394
                     48,                0.18671,                0.87025,                0.94239,                0.47117,                0.87278,                0.49941,                0.44092,                0.41763,                0.98144,                0.65871,             0.00025923,             0.00025923,             0.00025923
                     49,                0.18411,                 0.8768,                0.94274,                 0.4599,                0.89235,                0.50215,                0.44376,                0.41463,                0.98656,                0.66092,             0.00025452,             0.00025452,             0.00025452
                     50,                0.17578,                0.86415,                0.93535,                0.46649,                 0.9126,                0.49749,                0.43009,                0.41606,                0.95329,                0.64682,              0.0002498,              0.0002498,              0.0002498
                     51,                 0.1813,                0.85846,                0.94007,                0.46675,                0.89972,                0.51047,                0.45574,                0.40488,                0.97158,                0.65557,             0.00024509,             0.00024509,             0.00024509
                     52,                0.17365,                0.86431,                0.93505,                0.46189,                0.87645,                0.49774,                0.43275,                0.44511,                0.96571,                0.68966,             0.00024038,             0.00024038,             0.00024038
                     53,                0.17181,                0.85267,                0.93428,                0.46127,                0.88724,                0.50251,                0.44239,                0.46635,                  0.964,                0.74064,             0.00023567,             0.00023567,             0.00023567
                     54,                 0.1711,                0.85934,                0.93108,                0.46264,                0.89263,                0.50332,                0.44525,                0.42882,                0.99154,                 0.6811,             0.00023096,             0.00023096,             0.00023096
                     55,                0.17065,                0.85094,                 0.9358,                 0.4581,                0.92012,                0.50796,                0.44876,                0.41485,                0.95452,                0.66465,             0.00022624,             0.00022624,             0.00022624
                     56,                0.17048,                0.84576,                0.93093,                0.46295,                0.90281,                0.49898,                 0.4398,                0.43806,                0.96321,                0.70202,             0.00022153,             0.00022153,             0.00022153
                     57,                0.16645,                0.84525,                0.93068,                0.46729,                0.91654,                0.50729,                0.45364,                0.40553,                0.96013,                0.67245,             0.00021682,             0.00021682,             0.00021682
                     58,                0.16406,                0.84151,                0.92782,                0.46471,                 0.8913,                0.49865,                0.44713,                0.42098,                0.94443,                0.68021,             0.00021211,             0.00021211,             0.00021211
                     59,                0.16682,                0.83993,                0.92834,                0.46457,                0.89574,                0.50154,                  0.445,                0.42754,                0.93156,                0.69855,             0.00020739,             0.00020739,             0.00020739
                     60,                0.16123,                0.84539,                0.92705,                0.45352,                0.87713,                0.49773,                 0.4487,                0.42396,                0.95165,                0.69197,             0.00020268,             0.00020268,             0.00020268
                     61,                0.15664,                0.83477,                0.92692,                0.46524,                0.92046,                0.50397,                0.45007,                 0.3981,                0.92628,                0.66084,             0.00019797,             0.00019797,             0.00019797
                     62,                0.15853,                0.83837,                 0.9279,                0.45793,                 0.9062,                0.51199,                0.45262,                0.44589,                0.92304,                0.71469,             0.00019326,             0.00019326,             0.00019326
                     63,                0.16435,                0.83535,                0.92829,                0.47214,                0.89739,                0.50998,                0.45784,                0.41313,                0.94813,                0.68011,             0.00018854,             0.00018854,             0.00018854
