                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61383,                 2.7685,                 1.2613,                0.70032,                0.33097,                0.39577,                0.28743,                0.98118,                 2.4086,                 1.3112,             0.00015736,             0.00015736,             0.00015736
                      2,                0.41092,                 1.2434,                 1.1136,                 0.9333,                0.28027,                 0.3892,                0.32274,                0.78023,                 1.5395,                 1.0565,             0.00031289,             0.00031289,             0.00031289
                      3,                0.41414,                 1.1029,                 1.1064,                0.60203,                0.39976,                0.46678,                 0.3089,                0.92611,                 1.5897,                 1.2017,             0.00046529,             0.00046529,             0.00046529
                      4,                0.41901,                 1.0407,                 1.1014,                0.63447,                0.45434,                 0.4831,                0.33339,                 0.9228,                 1.5167,                 1.1755,             0.00046186,             0.00046186,             0.00046186
                      5,                0.39887,                 0.9734,                 1.0855,                0.47885,                0.46293,                0.44062,                0.31049,                 0.9274,                  1.436,                 1.1969,             0.00046186,             0.00046186,             0.00046186
                      6,                0.37891,                0.88586,                 1.0791,                0.67434,                0.48511,                0.53764,                0.41626,                0.74046,                 1.2583,                0.98668,             0.00045715,             0.00045715,             0.00045715
                      7,                0.36575,                0.81744,                 1.0582,                0.67054,                0.50863,                0.51466,                0.42516,                0.68615,                 1.1216,                 0.9376,             0.00045244,             0.00045244,             0.00045244
                      8,                0.35562,                0.78073,                   1.06,                0.59963,                0.52152,                0.54352,                 0.4155,                0.68734,                 1.1441,                0.93389,             0.00044773,             0.00044773,             0.00044773
                      9,                0.34194,                0.74209,                 1.0483,                0.66601,                0.58815,                0.61901,                0.46586,                0.66902,                0.92012,                0.88325,             0.00044301,             0.00044301,             0.00044301
                     10,                0.34782,                 0.7317,                 1.0478,                0.68433,                0.57192,                0.63043,                0.46753,                0.71854,                0.97132,                0.94201,              0.0004383,              0.0004383,              0.0004383
                     11,                0.31904,                0.68407,                 1.0324,                 0.7006,                0.62489,                0.67541,                0.47409,                0.77058,                0.95956,                0.99332,             0.00043359,             0.00043359,             0.00043359
                     12,                0.32162,                0.64549,                 1.0293,                0.67941,                0.66498,                0.69403,                0.48928,                0.72956,                 1.0183,                0.98036,             0.00042888,             0.00042888,             0.00042888
                     13,                0.32304,                 0.6613,                  1.034,                0.78829,                0.63395,                0.72837,                 0.5265,                0.65105,                0.94224,                 0.8927,             0.00042416,             0.00042416,             0.00042416
                     14,                 0.3073,                0.64217,                 1.0235,                0.69423,                0.64002,                0.71598,                0.53015,                0.62025,                0.84147,                0.84547,             0.00041945,             0.00041945,             0.00041945
                     15,                0.33581,                0.62538,                 1.0474,                0.66069,                0.69994,                0.73746,                0.55245,                0.63339,                 0.7977,                0.86089,             0.00041474,             0.00041474,             0.00041474
                     16,                0.30234,                0.59689,                 1.0168,                0.64031,                0.66708,                0.72787,                0.56282,                0.61238,                0.86505,                0.85095,             0.00041003,             0.00041003,             0.00041003
                     17,                0.30767,                 0.5977,                 1.0176,                0.77165,                0.67104,                0.76476,                0.55943,                0.68712,                0.79285,                  0.932,             0.00040531,             0.00040531,             0.00040531
                     18,                0.30321,                0.58269,                 1.0176,                0.72545,                 0.7185,                0.76388,                0.57146,                 0.6499,                0.76691,                0.87372,              0.0004006,              0.0004006,              0.0004006
                     19,                0.29904,                 0.5661,                 1.0188,                0.76037,                0.70494,                 0.7811,                0.58811,                0.68704,                0.83584,                0.91885,             0.00039589,             0.00039589,             0.00039589
                     20,                0.29993,                0.54573,                 1.0131,                 0.8505,                 0.7403,                0.82372,                0.60434,                0.62226,                0.68913,                 0.8586,             0.00039118,             0.00039118,             0.00039118
                     21,                0.29406,                0.53918,                 1.0114,                 0.8247,                 0.7072,                0.80532,                0.61538,                0.58893,                0.75335,                0.80714,             0.00038646,             0.00038646,             0.00038646
                     22,                 0.2914,                0.53787,                 1.0093,                0.74914,                0.67715,                0.76587,                0.60846,                0.58154,                0.72353,                0.79718,             0.00038175,             0.00038175,             0.00038175
                     23,                0.28162,                0.49523,                0.99756,                0.79226,                0.73365,                0.80128,                0.61426,                 0.5725,                 0.6865,                0.79213,             0.00037704,             0.00037704,             0.00037704
                     24,                0.28717,                0.50299,                 1.0048,                0.86634,                0.67867,                0.81309,                0.60702,                0.57411,                0.69273,                0.80576,             0.00037233,             0.00037233,             0.00037233
                     25,                0.29665,                 0.5114,                 1.0253,                0.73627,                0.75099,                0.79178,                0.60374,                  0.622,                0.77092,                0.85554,             0.00036761,             0.00036761,             0.00036761
                     26,                0.26912,                0.47279,                0.98975,                0.82574,                0.79283,                0.85149,                 0.6308,                0.59913,                0.65665,                 0.8448,              0.0003629,              0.0003629,              0.0003629
                     27,                0.27191,                0.46846,                0.99138,                0.79826,                0.77419,                0.81135,                0.63686,                0.59442,                0.64259,                0.83283,             0.00035819,             0.00035819,             0.00035819
                     28,                0.25802,                0.46118,                0.99093,                0.84842,                 0.7548,                0.84189,                0.65687,                0.60867,                 0.6278,                0.84386,             0.00035348,             0.00035348,             0.00035348
                     29,                0.27047,                0.46948,                0.99517,                0.80736,                0.78723,                 0.8363,                0.65174,                 0.5764,                0.65601,                0.82567,             0.00034877,             0.00034877,             0.00034877
                     30,                0.26236,                0.45184,                0.99155,                0.79385,                0.76185,                0.84045,                 0.6635,                0.54619,                0.63079,                0.78275,             0.00034405,             0.00034405,             0.00034405
                     31,                0.25201,                0.42897,                0.98517,                 0.8225,                0.75248,                0.85104,                0.68567,                0.50487,                0.65653,                0.74357,             0.00033934,             0.00033934,             0.00033934
                     32,                0.25999,                0.42976,                0.98776,                0.83918,                 0.7869,                0.84681,                0.68181,                0.57373,                0.60154,                  0.826,             0.00033463,             0.00033463,             0.00033463
                     33,                0.26699,                0.46569,                 1.0025,                0.83996,                0.80331,                0.85138,                0.67132,                0.55324,                0.62919,                0.77561,             0.00032992,             0.00032992,             0.00032992
                     34,                0.25877,                 0.4143,                0.98657,                    0.8,                0.81602,                0.84487,                0.68038,                0.54034,                0.57306,                0.77045,              0.0003252,              0.0003252,              0.0003252
                     35,                0.23957,                0.38922,                0.97905,                0.80982,                0.80966,                0.85006,                0.67911,                0.56224,                0.58189,                0.79875,             0.00032049,             0.00032049,             0.00032049
                     36,                0.24655,                0.40339,                0.97971,                0.83664,                0.84009,                 0.8741,                0.70267,                0.49632,                0.56223,                0.72696,             0.00031578,             0.00031578,             0.00031578
                     37,                0.24654,                0.40018,                0.98015,                0.81754,                0.84679,                0.87961,                0.69125,                0.56679,                0.63009,                0.80401,             0.00031107,             0.00031107,             0.00031107
                     38,                0.25338,                0.41498,                0.99697,                0.82197,                0.83537,                0.86852,                0.67211,                0.59366,                 0.5825,                 0.8049,             0.00030635,             0.00030635,             0.00030635
                     39,                0.24432,                0.39304,                0.97929,                0.88648,                0.82679,                0.88484,                0.70797,                0.49368,                0.53602,                 0.7262,             0.00030164,             0.00030164,             0.00030164
                     40,                0.23585,                0.43234,                0.96881,                0.85337,                0.85602,                0.87918,                0.70999,                0.51304,                0.55747,                0.76005,             0.00029693,             0.00029693,             0.00029693
                     41,                0.23452,                 0.4007,                0.97239,                0.85405,                0.81849,                0.86671,                0.70805,                0.48955,                0.53984,                0.72578,             0.00029222,             0.00029222,             0.00029222
                     42,                0.24541,                0.42157,                0.99393,                0.86569,                0.81028,                0.87501,                0.72753,                0.50241,                0.54591,                0.73121,              0.0002875,              0.0002875,              0.0002875
                     43,                0.22939,                0.36027,                0.96227,                0.85046,                0.84928,                0.88975,                0.73202,                0.45068,                0.51351,                0.65832,             0.00028279,             0.00028279,             0.00028279
                     44,                0.22894,                0.36589,                0.96951,                0.89698,                0.83225,                0.89362,                0.72972,                0.52875,                0.50128,                0.76487,             0.00027808,             0.00027808,             0.00027808
                     45,                0.23959,                0.36723,                0.96308,                0.86124,                0.88449,                0.90134,                0.73889,                0.51049,                0.51392,                 0.7549,             0.00027337,             0.00027337,             0.00027337
                     46,                0.22503,                0.35584,                0.96215,                0.85093,                0.84817,                0.87395,                0.72066,                0.55257,                0.52564,                0.82103,             0.00026865,             0.00026865,             0.00026865
                     47,                 0.2235,                 0.3454,                0.96255,                0.86661,                0.82948,                0.88759,                0.71869,                0.57948,                0.60694,                0.86671,             0.00026394,             0.00026394,             0.00026394
                     48,                0.23317,                0.35064,                 0.9705,                0.88135,                0.83833,                0.90096,                0.73634,                0.53033,                0.52467,                0.78786,             0.00025923,             0.00025923,             0.00025923
                     49,                0.23157,                0.34916,                 0.9691,                0.83314,                0.84024,                0.86702,                0.73168,                0.52409,                0.51537,                0.79706,             0.00025452,             0.00025452,             0.00025452
                     50,                0.22885,                0.35172,                0.96821,                0.87627,                0.86211,                0.89069,                0.74542,                0.50348,                 0.4911,                 0.7535,              0.0002498,              0.0002498,              0.0002498
                     51,                0.22504,                0.32742,                0.96133,                0.90615,                0.83474,                0.89426,                0.74688,                0.46175,                0.52402,                0.68535,             0.00024509,             0.00024509,             0.00024509
                     52,                0.24537,                0.37131,                0.97475,                0.85776,                 0.8734,                0.89739,                0.76891,                 0.4379,                0.50072,                0.65532,             0.00024038,             0.00024038,             0.00024038
                     53,                0.21351,                0.34788,                0.95929,                0.86394,                0.89067,                 0.9146,                0.76233,                0.45251,                0.46195,                0.68086,             0.00023567,             0.00023567,             0.00023567
                     54,                0.21368,                0.31389,                0.96205,                0.89591,                0.86892,                0.90221,                0.75469,                0.49826,                0.48989,                0.74085,             0.00023096,             0.00023096,             0.00023096
                     55,                0.23103,                0.36331,                 0.9857,                 0.9018,                0.88601,                0.90456,                0.76338,                0.48691,                0.45433,                0.73172,             0.00022624,             0.00022624,             0.00022624
                     56,                0.21858,                0.31547,                0.96069,                0.90481,                0.87246,                0.89938,                0.76216,                0.47802,                0.49436,                0.70952,             0.00022153,             0.00022153,             0.00022153
                     57,                0.20062,                0.29667,                0.94939,                0.87853,                0.87442,                0.90805,                0.75708,                0.48002,                0.49479,                0.72559,             0.00021682,             0.00021682,             0.00021682
                     58,                0.21526,                0.31796,                0.95619,                0.87211,                0.88283,                0.89386,                0.75376,                0.48766,                0.47862,                 0.7288,             0.00021211,             0.00021211,             0.00021211
                     59,                0.20113,                0.30959,                0.94695,                0.92206,                0.86309,                0.91545,                0.77462,                0.45986,                0.49996,                 0.6998,             0.00020739,             0.00020739,             0.00020739
                     60,                0.22453,                0.30094,                 1.0045,                0.89522,                0.87924,                0.91522,                0.77279,                0.47352,                 0.4812,                0.73461,             0.00020268,             0.00020268,             0.00020268
                     61,                0.19927,                0.29916,                0.95107,                0.89545,                0.86766,                0.90936,                0.76986,                0.44787,                0.51755,                0.70103,             0.00019797,             0.00019797,             0.00019797
                     62,                0.20248,                0.28707,                0.95908,                0.89935,                0.88092,                0.90832,                0.77652,                0.45319,                0.51306,                0.69868,             0.00019326,             0.00019326,             0.00019326
                     63,                0.19644,                0.33083,                0.94868,                 0.9152,                0.89944,                0.93009,                0.78612,                0.46326,                0.46375,                0.71911,             0.00018854,             0.00018854,             0.00018854
                     64,                0.19212,                0.28032,                0.93974,                0.92006,                0.89103,                 0.9175,                 0.7708,                0.47005,                0.47837,                0.71465,             0.00018383,             0.00018383,             0.00018383
                     65,                0.19045,                0.28434,                0.95057,                0.93203,                0.90596,                0.92809,                0.79001,                0.44224,                0.43619,                0.67745,             0.00017912,             0.00017912,             0.00017912
                     66,                0.18762,                0.27873,                0.94849,                0.91745,                 0.8858,                0.92201,                0.78164,                  0.472,                0.40995,                0.72799,             0.00017441,             0.00017441,             0.00017441
                     67,                 0.1894,                0.28695,                0.94211,                0.89738,                0.87968,                0.90714,                0.77835,                0.45478,                0.48202,                 0.7082,             0.00016969,             0.00016969,             0.00016969
                     68,                0.19628,                0.26793,                0.94802,                0.86861,                0.89813,                0.91427,                0.77574,                0.46412,                0.42555,                0.73113,             0.00016498,             0.00016498,             0.00016498
                     69,                0.17904,                0.26912,                0.94054,                0.89707,                0.88501,                0.90533,                0.78012,                0.46417,                0.44725,                0.71896,             0.00016027,             0.00016027,             0.00016027
                     70,                0.18923,                0.26928,                0.94142,                0.90192,                0.89292,                0.90187,                0.77324,                0.46464,                0.46452,                0.72378,             0.00015556,             0.00015556,             0.00015556
                     71,                0.19152,                0.26398,                0.94476,                0.91156,                0.88645,                0.91253,                0.78729,                0.44743,                0.46644,                0.71456,             0.00015084,             0.00015084,             0.00015084
                     72,                0.17778,                0.29662,                0.94111,                0.91011,                0.87629,                 0.9095,                0.79268,                0.43773,                0.42628,                0.69755,             0.00014613,             0.00014613,             0.00014613
                     73,                0.18383,                0.25317,                0.94386,                 0.9147,                0.89568,                0.91032,                0.78692,                0.45449,                0.44268,                 0.6992,             0.00014142,             0.00014142,             0.00014142
                     74,                0.18323,                0.25216,                0.94931,                0.90752,                0.88495,                0.90464,                 0.7962,                0.43602,                0.43639,                0.69632,             0.00013671,             0.00013671,             0.00013671
                     75,                0.18395,                0.24822,                0.94276,                0.90489,                0.88623,                0.90774,                0.79493,                0.44751,                0.42442,                0.70853,             0.00013199,             0.00013199,             0.00013199
                     76,                0.18031,                0.24901,                 0.9382,                0.89487,                0.88595,                0.90231,                0.79296,                0.46301,                0.41386,                0.71897,             0.00012728,             0.00012728,             0.00012728
                     77,                0.18153,                  0.306,                0.96169,                0.91595,                0.87832,                 0.9093,                0.79857,                0.43731,                0.44186,                 0.6906,             0.00012257,             0.00012257,             0.00012257
                     78,                0.17642,                0.24479,                0.93608,                0.91789,                 0.8665,                0.90869,                0.79412,                 0.4501,                0.48015,                0.70544,             0.00011786,             0.00011786,             0.00011786
                     79,                0.17058,                0.23068,                0.93473,                0.92497,                0.88176,                0.91528,                 0.8002,                0.42299,                0.43386,                0.67786,             0.00011315,             0.00011315,             0.00011315
                     80,                0.18133,                0.26057,                0.94265,                0.91533,                0.86183,                0.90321,                0.78936,                0.43874,                0.42817,                0.70339,             0.00010843,             0.00010843,             0.00010843
                     81,                0.17495,                0.27096,                0.93994,                0.89206,                 0.8959,                0.90102,                0.79564,                0.43135,                0.43393,                0.69826,             0.00010372,             0.00010372,             0.00010372
                     82,                0.16725,                0.23128,                0.93416,                0.89031,                0.91397,                0.92597,                 0.8125,                0.44414,                0.42617,                 0.7158,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     83,                0.16335,                0.23481,                0.93259,                0.92301,                0.87891,                0.91658,                0.80538,                0.41423,                0.43639,                0.67949,             9.4296e-05,             9.4296e-05,             9.4296e-05
                     84,                0.16271,                0.23186,                0.92757,                0.91363,                 0.8835,                0.90778,                0.80138,                 0.4308,                0.42785,                0.70585,             8.9583e-05,             8.9583e-05,             8.9583e-05
                     85,                0.17149,                0.29443,                0.92419,                0.92222,                0.89145,                0.91771,                0.81312,                0.42074,                0.42134,                0.69412,             8.4871e-05,             8.4871e-05,             8.4871e-05
                     86,                0.15924,                0.21717,                0.93338,                0.93043,                 0.8967,                0.92409,                0.81616,                0.42137,                0.43497,                0.69015,             8.0158e-05,             8.0158e-05,             8.0158e-05
                     87,                0.16492,                0.21482,                0.93163,                0.91035,                0.89812,                0.92199,                0.81428,                0.42354,                0.43166,                0.68223,             7.5446e-05,             7.5446e-05,             7.5446e-05
                     88,                 0.1598,                0.22025,                0.92949,                0.92809,                0.90469,                0.91697,                0.81268,                0.44178,                0.44729,                0.70684,             7.0734e-05,             7.0734e-05,             7.0734e-05
                     89,                0.16627,                0.24379,                0.93217,                0.91738,                0.90743,                 0.9239,                0.81382,                0.42184,                0.46116,                0.68241,             6.6021e-05,             6.6021e-05,             6.6021e-05
                     90,                0.15529,                0.20388,                0.93058,                0.92188,                0.89669,                0.91503,                0.81327,                0.42592,                0.43218,                 0.7015,             6.1309e-05,             6.1309e-05,             6.1309e-05
                     91,                0.17307,                0.20741,                0.95452,                0.91846,                0.88774,                0.91646,                0.81107,                 0.4355,                0.46847,                 0.7105,             5.6596e-05,             5.6596e-05,             5.6596e-05
                     92,                0.15638,                0.18553,                0.93664,                0.90688,                0.88807,                0.91269,                0.81199,                0.44516,                 0.4277,                0.72484,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     93,                0.15409,                0.14494,                0.96297,                0.89569,                0.90841,                 0.9224,                0.82172,                0.42529,                0.42173,                0.70794,             4.7172e-05,             4.7172e-05,             4.7172e-05
                     94,                0.14449,                0.13809,                0.93523,                0.88724,                0.92296,                0.92389,                0.81856,                0.41059,                0.42942,                0.68218,             4.2459e-05,             4.2459e-05,             4.2459e-05
                     95,                0.16208,                0.21366,                0.96381,                0.92986,                0.91204,                0.92285,                0.82143,                0.41596,                0.41036,                0.68477,             3.7747e-05,             3.7747e-05,             3.7747e-05
