                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99422,                 1.1183,                 1.1881,                 0.7529,                0.72485,                0.79042,                0.61137,                0.85198,                0.69951,                 1.0198,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                0.97808,                0.93636,                 1.1497,                0.83167,                 0.7126,                0.81204,                0.64507,                0.83176,                 0.6525,                 1.0059,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                0.94567,                0.81617,                 1.1686,                0.82133,                0.73791,                0.82931,                0.66296,                0.81807,                0.62973,                0.99624,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                0.93048,                0.80633,                 1.1151,                0.84314,                0.74395,                0.84424,                0.67762,                0.80321,                0.60179,                0.98628,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                0.90711,                0.76556,                 1.1145,                0.81448,                0.77139,                0.86285,                0.69348,                0.79689,                0.58333,                0.97895,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                0.93271,                0.77167,                 1.1043,                0.82269,                0.79177,                0.87672,                0.70757,                0.78584,                0.56787,                 0.9717,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                   0.87,                0.71549,                 1.0868,                 0.8565,                0.77899,                0.88045,                0.71654,                0.76831,                0.55213,                0.96366,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                0.85393,                0.69962,                 1.0877,                0.89016,                0.78677,                0.89048,                0.72233,                0.75621,                0.51859,                 0.9571,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                0.86393,                0.71647,                 1.0855,                0.90224,                0.80007,                0.89867,                0.73211,                0.74698,                0.49844,                0.95148,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 0.8507,                0.68762,                 1.0833,                0.86409,                0.85472,                0.90397,                0.73589,                  0.746,                0.49102,                0.94684,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                0.82202,                0.67765,                 1.0478,                0.89654,                0.83892,                0.90629,                0.74423,                0.74409,                0.48693,                 0.9459,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                0.82636,                0.63666,                 1.0416,                0.85377,                0.86861,                0.90899,                0.74642,                0.73659,                0.46772,                0.94483,             0.00010074,             0.00010074,             0.00010074
                     13,                 0.8237,                0.64014,                 1.0523,                0.84182,                0.87624,                0.91168,                0.75391,                0.72096,                0.46031,                 0.9405,             0.00010486,             0.00010486,             0.00010486
                     14,                0.80048,                0.61665,                 1.0478,                0.89767,                0.84275,                0.90904,                0.75153,                0.71618,                0.46104,                 0.9394,             0.00010486,             0.00010486,             0.00010486
                     15,                0.76718,                  0.565,                 1.0184,                 0.9302,                 0.8254,                0.90862,                0.75321,                0.71244,                 0.4514,                0.93753,             0.00010368,             0.00010368,             0.00010368
                     16,                  0.768,                 0.6119,                 1.0314,                0.91859,                0.84966,                0.91293,                0.75987,                0.70142,                 0.4426,                0.93179,             0.00010251,             0.00010251,             0.00010251
                     17,                0.74335,                0.56479,                 1.0194,                0.91678,                 0.8496,                0.91797,                0.76218,                0.68771,                0.43544,                0.92312,             0.00010133,             0.00010133,             0.00010133
                     18,                0.77881,                  0.591,                 1.0421,                0.93203,                 0.8523,                0.92582,                0.77407,                0.67243,                0.42622,                0.91577,             0.00010015,             0.00010015,             0.00010015
                     19,                0.75308,                0.54998,                 1.0063,                0.94816,                0.85283,                0.93021,                0.78572,                0.66319,                0.42427,                0.91097,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.72079,                0.52907,                  1.002,                0.93509,                0.85667,                0.93046,                0.79266,                0.64725,                 0.4187,                0.90324,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                0.71252,                0.55466,                 1.0141,                0.93803,                0.85695,                0.93421,                0.79443,                0.63471,                0.41013,                0.89712,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                0.74052,                0.55758,                 1.0221,                0.93392,                0.86433,                0.93612,                0.79137,                0.62719,                0.40581,                0.89391,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                0.75841,                0.58094,                 1.0248,                0.92012,                0.87858,                  0.935,                0.79765,                0.62715,                0.39598,                0.88841,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.68251,                0.49839,                0.99646,                0.93298,                0.87535,                0.93711,                0.79963,                0.61795,                0.39222,                0.88477,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.73753,                0.53586,                 1.0094,                0.93717,                0.87981,                0.94216,                0.80526,                0.60562,                0.38631,                0.88301,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.71836,                0.53741,                0.99694,                0.93932,                0.88148,                0.94214,                0.80524,                0.59854,                0.37928,                0.88196,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.67356,                0.48878,                0.98351,                0.94616,                0.88858,                0.94645,                0.81123,                0.59166,                 0.3721,                0.88086,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.68201,                0.51299,                0.99939,                0.94337,                0.88553,                0.94829,                 0.8117,                0.58562,                0.36756,                0.88015,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                0.67624,                0.49584,                0.97034,                0.93236,                0.89293,                0.94671,                0.81768,                 0.5824,                 0.3653,                0.88008,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.63733,                0.48323,                0.96747,                0.94168,                0.89176,                0.94806,                0.81853,                0.57822,                0.36201,                0.87747,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.66146,                0.49527,                0.97504,                0.95416,                0.88037,                0.94645,                0.81798,                0.57969,                0.36291,                0.87569,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.67496,                0.48864,                0.96694,                  0.932,                0.89405,                0.94893,                0.81884,                0.57764,                0.36009,                0.87381,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                0.58249,                0.44826,                0.95224,                0.94912,                0.88188,                0.94981,                0.82127,                0.57127,                0.35521,                0.87157,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.65627,                0.48314,                0.96185,                0.95015,                0.87717,                0.95231,                0.82707,                0.56263,                0.35107,                0.86722,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.62064,                0.44812,                0.95821,                0.93544,                0.89004,                0.95497,                0.82346,                0.55286,                0.35263,                0.86342,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.64302,                0.48926,                0.97956,                0.94022,                0.89512,                0.95112,                 0.8268,                0.54598,                0.34765,                0.86086,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.62919,                0.45307,                   0.94,                0.89962,                0.91233,                0.95053,                0.83307,                0.53894,                0.34548,                0.85723,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.62144,                0.43877,                0.94212,                0.90367,                0.91193,                0.95168,                0.83451,                0.53621,                 0.3422,                0.85532,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 0.6184,                0.44779,                0.95798,                0.92766,                0.89894,                0.95339,                0.83584,                0.53586,                0.33958,                 0.8539,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.62962,                0.45383,                0.94322,                0.94452,                0.89028,                0.95562,                0.84002,                0.53289,                0.33487,                0.85207,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.61392,                0.44836,                0.95967,                0.93828,                0.90134,                0.95727,                 0.8399,                0.53074,                0.33225,                 0.8506,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.62245,                0.45595,                0.96742,                0.93506,                0.90578,                0.95633,                0.83987,                0.52669,                0.33078,                0.84969,             7.1876e-05,             7.1876e-05,             7.1876e-05
