                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2143,                 1.6696,                   1.27,                0.64971,                0.52486,                0.61417,                0.45441,                  1.082,                 1.1187,                 1.1244,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2006,                 1.4347,                 1.2294,                0.67028,                0.53375,                0.62862,                 0.4684,                 1.0748,                 1.0807,                 1.1211,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1551,                 1.3723,                 1.2504,                0.68609,                0.54094,                0.63806,                0.47349,                 1.0716,                 1.0607,                 1.1193,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1343,                 1.3565,                 1.1938,                0.72334,                0.56565,                0.65411,                0.48729,                 1.0663,                 1.0367,                 1.1152,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                  1.115,                 1.2519,                 1.1963,                0.75697,                0.58343,                0.66926,                0.49982,                 1.0519,                  1.017,                 1.1061,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1715,                 1.3575,                 1.2111,                0.72361,                 0.6149,                0.68738,                0.51124,                 1.0372,                0.99948,                 1.0981,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1326,                 1.2151,                 1.1962,                0.76349,                 0.6071,                0.68834,                0.51996,                 1.0264,                0.97986,                  1.091,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1002,                 1.1852,                 1.1898,                0.69779,                0.64238,                0.69515,                0.52583,                 1.0175,                0.95536,                 1.0847,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0974,                 1.2354,                 1.1905,                0.72986,                0.65442,                0.71674,                0.53986,                 1.0121,                0.92576,                  1.078,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0877,                 1.1699,                 1.1905,                0.77362,                0.65204,                0.73006,                0.54531,                 1.0138,                0.90683,                 1.0763,             8.5634e-05,             8.5634e-05,             8.5634e-05
