                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3497,                 1.5562,                 1.0933,                0.55542,                0.57856,                0.60454,                0.33625,                 1.0041,                  3.938,                 1.3013,             0.00036587,             0.00036587,             0.00036587
                      2,                0.29412,                0.93653,                 1.0263,                0.50125,                0.44717,                0.34619,                0.27417,                 1.0813,                 2.3313,                 1.5016,             0.00072892,             0.00072892,             0.00072892
                      3,                0.30262,                0.91499,                 1.0372,                0.35048,                0.44697,                0.37727,                0.24219,                 1.8175,                   3.62,                  2.154,              0.0010846,              0.0010846,              0.0010846
                      4,                0.27822,                0.88936,                 1.0092,                0.51359,                0.64802,                0.63224,                0.52589,                0.63918,                 1.7916,                0.85769,               0.001078,               0.001078,               0.001078
                      5,                0.25397,                0.77415,                0.99876,                0.71703,                0.70895,                0.72634,                0.38664,                 1.0389,                 1.6805,                 1.2193,               0.001078,               0.001078,               0.001078
                      6,                0.22747,                0.74538,                0.98619,                0.84813,                0.76917,                0.88436,                0.77178,                0.48793,                0.97519,                0.69331,               0.001067,               0.001067,               0.001067
                      7,                0.21812,                0.72442,                0.97985,                0.67052,                0.76258,                0.82554,                0.69125,                0.48167,                 1.1918,                0.63154,               0.001056,               0.001056,               0.001056
                      8,                0.21162,                0.66499,                0.98174,                0.77981,                0.69279,                0.83535,                0.70611,                0.53023,                 1.1545,                0.77151,               0.001045,               0.001045,               0.001045
                      9,                0.20289,                0.62694,                0.96488,                0.72106,                0.73287,                0.77949,                0.64262,                0.60315,                 1.2846,                0.80909,               0.001034,               0.001034,               0.001034
                     10,                0.19748,                0.61079,                0.95842,                  0.735,                0.85188,                 0.9042,                 0.8314,                0.41589,                0.82279,                0.59989,               0.001023,               0.001023,               0.001023
                     11,                0.17335,                0.59762,                0.94838,                0.85331,                0.89888,                0.93966,                0.92137,                0.25418,                0.56339,                0.43786,               0.001012,               0.001012,               0.001012
                     12,                0.17403,                0.55189,                0.95469,                0.84024,                0.84723,                0.94103,                0.90221,                 0.2924,                0.64859,                0.46388,               0.001001,               0.001001,               0.001001
                     13,                 0.1671,                0.55423,                0.95048,                0.84831,                0.86737,                 0.9263,                0.86376,                0.31738,                0.66089,                0.50042,             0.00099001,             0.00099001,             0.00099001
                     14,                0.16435,                0.53875,                0.94215,                0.83815,                0.85587,                0.92598,                0.85489,                0.29915,                0.68149,                0.48553,             0.00097901,             0.00097901,             0.00097901
                     15,                0.16153,                0.53137,                0.94369,                0.85972,                0.88589,                 0.9259,                0.88263,                0.29576,                0.63469,                0.42749,             0.00096801,             0.00096801,             0.00096801
                     16,                0.16041,                0.51558,                0.96158,                 0.7899,                 0.9079,                0.94086,                0.87103,                0.31251,                0.70708,                0.48648,             0.00095702,             0.00095702,             0.00095702
                     17,                0.14997,                0.48667,                0.94097,                0.93102,                0.85357,                0.95747,                0.90781,                0.30043,                 0.5347,                0.43204,             0.00094602,             0.00094602,             0.00094602
                     18,                0.15414,                0.48092,                0.94962,                0.83849,                0.92435,                  0.966,                0.93668,                0.30863,                0.48934,                 0.4798,             0.00093502,             0.00093502,             0.00093502
                     19,                0.14195,                 0.4749,                0.94034,                0.82138,                0.94423,                0.97658,                0.96476,                0.20682,                0.52582,                0.34857,             0.00092402,             0.00092402,             0.00092402
                     20,                0.14232,                0.46069,                0.93137,                0.89945,                0.91256,                 0.9512,                0.90519,                0.30505,                0.49146,                 0.4844,             0.00091302,             0.00091302,             0.00091302
                     21,                0.14723,                0.47632,                0.94971,                0.92032,                0.89242,                0.95769,                0.91815,                0.28695,                0.51785,                0.44325,             0.00090202,             0.00090202,             0.00090202
                     22,                0.15248,                 0.4838,                0.94438,                0.91304,                0.87926,                0.96095,                0.93652,                0.27534,                0.49269,                0.42326,             0.00089102,             0.00089102,             0.00089102
                     23,                0.13735,                0.42701,                0.93545,                0.85478,                0.86592,                0.96183,                0.92208,                0.27907,                0.60956,                0.41052,             0.00088002,             0.00088002,             0.00088002
                     24,                0.12756,                0.41394,                0.93066,                0.89856,                0.91124,                0.97409,                0.95958,                 0.2528,                0.42683,                0.42751,             0.00086902,             0.00086902,             0.00086902
                     25,                0.14016,                0.44296,                0.93824,                0.93786,                0.92903,                0.97874,                0.94027,                 0.2506,                0.47672,                0.42566,             0.00085803,             0.00085803,             0.00085803
                     26,                0.12792,                0.39314,                0.93069,                0.90885,                0.90397,                0.96855,                0.93089,                0.24135,                0.45701,                0.41209,             0.00084703,             0.00084703,             0.00084703
                     27,                0.12861,                  0.403,                0.93955,                0.93216,                0.91747,                0.96693,                0.94051,                0.21635,                0.37567,                0.36637,             0.00083603,             0.00083603,             0.00083603
                     28,                0.12784,                0.40447,                0.93598,                0.94955,                0.91017,                0.97619,                0.95239,                0.23647,                0.35774,                0.38323,             0.00082503,             0.00082503,             0.00082503
                     29,                0.12696,                0.39451,                0.93219,                0.94126,                0.88096,                0.96514,                0.90476,                0.29462,                 0.5389,                0.46278,             0.00081403,             0.00081403,             0.00081403
                     30,                0.13312,                0.37663,                0.93322,                0.92966,                0.96228,                0.98124,                0.97058,                0.20777,                0.35987,                0.35876,             0.00080303,             0.00080303,             0.00080303
                     31,                0.12867,                0.39106,                0.92639,                0.91335,                0.93695,                0.97507,                0.94928,                0.26544,                0.38991,                0.41867,             0.00079203,             0.00079203,             0.00079203
                     32,                0.12717,                0.40039,                0.93364,                0.91114,                0.94007,                0.97477,                0.95991,                0.21444,                0.40057,                0.38044,             0.00078103,             0.00078103,             0.00078103
                     33,                0.12406,                0.35388,                0.93167,                0.91016,                0.96599,                0.98464,                0.96818,                0.23249,                0.34418,                0.37817,             0.00077003,             0.00077003,             0.00077003
                     34,                0.12097,                0.35648,                0.92562,                0.91541,                0.87698,                0.95416,                0.86163,                0.38328,                0.59111,                0.53995,             0.00075904,             0.00075904,             0.00075904
                     35,                0.11658,                 0.3478,                0.92649,                0.91244,                0.93553,                0.97214,                 0.9321,                0.29869,                0.46627,                 0.4218,             0.00074804,             0.00074804,             0.00074804
                     36,                  0.115,                0.33422,                0.92691,                0.93732,                0.92019,                0.98099,                0.96105,                0.22815,                0.39756,                0.36517,             0.00073704,             0.00073704,             0.00073704
                     37,                0.10946,                0.32302,                 0.9156,                0.93518,                0.91842,                0.98133,                0.97044,                0.21048,                0.38121,                0.34953,             0.00072604,             0.00072604,             0.00072604
                     38,                0.11417,                 0.3346,                0.92098,                0.96015,                0.92306,                0.97991,                0.94758,                0.23558,                0.34913,                0.35783,             0.00071504,             0.00071504,             0.00071504
                     39,                 0.1137,                0.32319,                 0.9253,                0.93173,                0.94756,                0.98008,                0.93941,                0.25179,                0.42727,                0.39916,             0.00070404,             0.00070404,             0.00070404
                     40,                0.11207,                0.32516,                0.93671,                0.89517,                0.86868,                0.93292,                 0.8706,                0.36815,                0.61489,                0.51526,             0.00069304,             0.00069304,             0.00069304
                     41,                0.11426,                0.32822,                0.92472,                0.88187,                0.92348,                0.96555,                0.93428,                0.28124,                0.46699,                0.42497,             0.00068204,             0.00068204,             0.00068204
                     42,                0.11338,                0.32747,                0.92476,                0.92059,                 0.9235,                0.97692,                0.95302,                0.21842,                0.41567,                0.36322,             0.00067104,             0.00067104,             0.00067104
                     43,                0.10492,                0.33538,                0.92345,                  0.935,                0.93592,                0.97672,                  0.937,                0.28594,                0.40736,                0.41812,             0.00066005,             0.00066005,             0.00066005
                     44,                0.10912,                0.30355,                0.93035,                0.92945,                0.91237,                0.96992,                0.95377,                 0.2541,                0.41086,                 0.4122,             0.00064905,             0.00064905,             0.00064905
                     45,                0.10452,                0.29375,                0.92876,                0.94631,                0.94971,                0.98476,                0.96516,                0.20646,                0.41493,                0.34377,             0.00063805,             0.00063805,             0.00063805
                     46,                0.10253,                0.33091,                0.91857,                0.92889,                0.95354,                0.98126,                 0.9663,                0.24859,                0.41299,                0.38078,             0.00062705,             0.00062705,             0.00062705
                     47,                0.10622,                0.29494,                0.92936,                0.91953,                0.95226,                0.97532,                0.91582,                0.33124,                0.52152,                0.41783,             0.00061605,             0.00061605,             0.00061605
                     48,                 0.1036,                0.28749,                0.91861,                0.93426,                0.91839,                0.97429,                0.95671,                0.22794,                0.35293,                0.37369,             0.00060505,             0.00060505,             0.00060505
                     49,                 0.1045,                0.28946,                0.92408,                0.94323,                0.93999,                0.98071,                0.97199,                0.19887,                0.35668,                0.34895,             0.00059405,             0.00059405,             0.00059405
                     50,                0.10088,                0.33506,                 0.9232,                0.93906,                0.94877,                0.97922,                0.96279,                0.25652,                   0.37,                0.39514,             0.00058305,             0.00058305,             0.00058305
                     51,                0.10128,                0.29928,                0.92878,                0.93892,                0.93687,                0.98098,                0.95881,                0.25267,                0.38569,                0.39833,             0.00057205,             0.00057205,             0.00057205
                     52,                0.10008,                 0.2776,                0.92644,                0.95174,                0.93518,                 0.9799,                0.97472,                0.24368,                0.38021,                 0.3918,             0.00056105,             0.00056105,             0.00056105
                     53,                0.10094,                0.27625,                0.91799,                0.95763,                 0.9564,                0.98842,                0.98276,                0.21442,                0.26822,                0.35423,             0.00055006,             0.00055006,             0.00055006
                     54,                0.10203,                0.27798,                 0.9308,                 0.9355,                0.94693,                0.98025,                0.96461,                0.21962,                0.34021,                0.33092,             0.00053906,             0.00053906,             0.00053906
                     55,                0.09714,                0.28907,                0.92442,                0.95202,                 0.9383,                0.98035,                0.97518,                0.23229,                0.32389,                0.38041,             0.00052806,             0.00052806,             0.00052806
                     56,                0.09326,                 0.2649,                0.91784,                0.95726,                0.93826,                0.98235,                0.97186,                0.25728,                0.35478,                0.38808,             0.00051706,             0.00051706,             0.00051706
                     57,                0.09541,                0.25329,                0.91919,                0.93782,                0.93374,                0.97719,                0.96654,                0.22458,                0.38059,                 0.3662,             0.00050606,             0.00050606,             0.00050606
                     58,                0.09983,                0.25253,                0.92426,                 0.9465,                0.90208,                0.97756,                 0.9614,                0.23821,                0.42259,                0.38376,             0.00049506,             0.00049506,             0.00049506
                     59,                 0.0903,                0.25131,                0.91754,                0.93275,                0.93676,                0.98123,                0.95996,                0.33637,                0.54412,                0.41885,             0.00048406,             0.00048406,             0.00048406
                     60,                0.09764,                0.26358,                0.92719,                0.95778,                0.92741,                0.98141,                0.97004,                0.21814,                0.33007,                0.37371,             0.00047306,             0.00047306,             0.00047306
                     61,                 0.0917,                0.27317,                0.92102,                0.92397,                0.93221,                0.97726,                 0.9595,                0.29113,                 0.4052,                0.42791,             0.00046206,             0.00046206,             0.00046206
                     62,                0.09258,                0.25393,                0.91599,                0.94122,                0.91779,                0.98203,                0.97211,                0.23225,                0.37885,                0.37225,             0.00045107,             0.00045107,             0.00045107
                     63,                0.08435,                0.21524,                0.91887,                0.94982,                0.93898,                0.98523,                0.97666,                0.25164,                0.39914,                0.36027,             0.00044007,             0.00044007,             0.00044007
                     64,                0.09368,                 0.2369,                0.92344,                0.93879,                0.93896,                0.98529,                0.97679,                 0.2447,                0.35231,                0.38887,             0.00042907,             0.00042907,             0.00042907
                     65,                0.08964,                0.24774,                0.91132,                0.94436,                0.95606,                0.98068,                0.96632,                0.24527,                0.39445,                0.39066,             0.00041807,             0.00041807,             0.00041807
                     66,                0.09431,                0.23859,                0.91595,                0.94284,                0.95978,                0.98128,                0.96235,                0.22918,                0.35294,                 0.3572,             0.00040707,             0.00040707,             0.00040707
                     67,                0.08858,                0.23062,                 0.9149,                0.93399,                0.95163,                0.98609,                0.98127,                0.20312,                0.32494,                0.34596,             0.00039607,             0.00039607,             0.00039607
                     68,                0.08533,                0.21912,                0.91486,                0.94631,                0.92565,                0.97568,                0.94434,                0.28248,                0.43831,                0.41869,             0.00038507,             0.00038507,             0.00038507
                     69,                 0.0848,                0.21737,                0.91601,                0.96506,                0.96684,                0.99143,                0.98891,                0.21881,                0.27887,                0.36405,             0.00037407,             0.00037407,             0.00037407
