                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4773,                 5.4939,                 1.7544,                0.46125,                0.35101,                0.34164,                0.21024,                 1.5095,                 6.0408,                 1.8365,             0.00020285,             0.00020285,             0.00020285
                      2,                 1.3079,                 2.8953,                 1.5818,                0.41365,                0.28949,                0.25012,                 0.1455,                 1.6649,                 3.6191,                 2.0011,             0.00040711,             0.00040711,             0.00040711
                      3,                 1.2684,                 2.4175,                 1.5168,                0.32157,                 0.3232,                0.29118,                 0.1511,                 1.7796,                 3.3304,                 2.2702,             0.00060725,             0.00060725,             0.00060725
                      4,                 1.3249,                 2.2093,                  1.546,                0.43674,                0.39462,                0.38569,                0.21303,                   1.66,                 3.7287,                 2.2056,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.3293,                  2.185,                   1.59,                0.63596,                0.30477,                0.34821,                0.19642,                 1.7462,                 3.0391,                 2.1929,             0.00060644,             0.00060644,             0.00060644
                      6,                 1.3229,                 2.1702,                 1.5609,                0.48606,                0.31976,                0.34983,                0.17917,                 2.0169,                 2.7878,                 2.6153,             0.00060025,             0.00060025,             0.00060025
                      7,                 1.2756,                 1.9496,                 1.5034,                 0.4098,                0.50164,                0.45697,                0.26547,                 1.6165,                   2.03,                 1.9961,             0.00059406,             0.00059406,             0.00059406
                      8,                 1.2298,                 1.9018,                  1.483,                0.71028,                0.36905,                0.47268,                0.26279,                 1.7803,                 2.2542,                 2.0635,             0.00058787,             0.00058787,             0.00058787
                      9,                 1.2503,                 1.8732,                 1.4902,                0.62255,                0.50093,                0.54503,                0.30988,                 1.5146,                 1.9656,                 1.8085,             0.00058169,             0.00058169,             0.00058169
                     10,                 1.2159,                  1.769,                 1.4809,                0.50405,                0.49461,                0.52553,                0.29428,                  1.461,                 1.9473,                  1.806,              0.0005755,              0.0005755,              0.0005755
                     11,                 1.1924,                 1.6924,                 1.4233,                0.51255,                0.56934,                0.56622,                0.34288,                  1.419,                 2.0481,                 1.7537,             0.00056931,             0.00056931,             0.00056931
                     12,                 1.2017,                 1.6277,                 1.4412,                0.65306,                0.58836,                0.64129,                0.37149,                 1.4266,                 1.7746,                 1.7802,             0.00056313,             0.00056313,             0.00056313
                     13,                 1.1617,                 1.5497,                 1.3994,                0.66705,                0.57344,                0.58828,                0.38847,                 1.3868,                 1.6582,                 1.6787,             0.00055694,             0.00055694,             0.00055694
                     14,                 1.0969,                 1.5263,                 1.3659,                0.68451,                0.67804,                0.69138,                0.42931,                 1.2389,                 1.7087,                 1.5252,             0.00055075,             0.00055075,             0.00055075
                     15,                 1.0976,                 1.5192,                 1.3644,                0.65585,                0.61261,                0.63295,                0.41094,                 1.3177,                 1.6595,                 1.6504,             0.00054456,             0.00054456,             0.00054456
                     16,                  1.088,                 1.4542,                 1.3652,                0.64009,                0.60307,                0.65481,                0.41071,                 1.3546,                 1.5887,                 1.6623,             0.00053838,             0.00053838,             0.00053838
                     17,                 1.0504,                 1.3531,                 1.3252,                0.81141,                0.57356,                0.71607,                0.44364,                 1.2941,                 1.4999,                 1.6111,             0.00053219,             0.00053219,             0.00053219
                     18,                  1.043,                 1.3947,                 1.3549,                0.71213,                0.73179,                0.73308,                0.47662,                 1.1769,                 1.3067,                   1.49,               0.000526,               0.000526,               0.000526
                     19,                0.99251,                 1.2956,                 1.3148,                0.69533,                0.68611,                0.72243,                0.47239,                 1.2584,                 1.3353,                  1.597,             0.00051981,             0.00051981,             0.00051981
                     20,                 1.0265,                 1.2951,                 1.3182,                0.79915,                 0.6625,                0.76418,                0.52376,                 1.1862,                 1.2813,                 1.5191,             0.00051363,             0.00051363,             0.00051363
                     21,                 1.0293,                 1.2755,                 1.3146,                0.72444,                0.69253,                0.73299,                0.48103,                 1.2094,                 1.3954,                 1.5301,             0.00050744,             0.00050744,             0.00050744
                     22,                0.97887,                 1.2832,                 1.2948,                0.80635,                 0.7086,                0.78745,                0.54305,                 1.1358,                 1.3017,                 1.4414,             0.00050125,             0.00050125,             0.00050125
                     23,                0.99643,                 1.3057,                  1.306,                0.75265,                0.69324,                0.73859,                0.48873,                 1.2009,                 1.3213,                  1.511,             0.00049506,             0.00049506,             0.00049506
                     24,                0.95043,                 1.1661,                 1.2649,                0.80689,                0.70109,                0.78135,                0.54347,                 1.1032,                 1.1796,                 1.4625,             0.00048888,             0.00048888,             0.00048888
                     25,                0.92638,                 1.1428,                 1.2448,                0.71735,                0.70522,                0.75931,                0.51824,                 1.1561,                 1.2925,                 1.4926,             0.00048269,             0.00048269,             0.00048269
                     26,                0.98937,                 1.1632,                 1.3077,                0.73889,                0.75094,                0.78352,                0.53817,                 1.1371,                 1.2228,                 1.4754,              0.0004765,              0.0004765,              0.0004765
                     27,                 0.9307,                 1.1191,                 1.2514,                0.82715,                0.74884,                0.81139,                0.54725,                 1.1272,                 1.2277,                 1.4905,             0.00047031,             0.00047031,             0.00047031
                     28,                0.89195,                 1.0597,                 1.2387,                0.78899,                0.78174,                0.83346,                0.60188,                 1.0337,                 1.0585,                 1.4025,             0.00046413,             0.00046413,             0.00046413
                     29,                0.87342,                 1.0136,                 1.2248,                0.74539,                0.74409,                0.80642,                0.58238,                 1.0429,                 1.1304,                 1.4263,             0.00045794,             0.00045794,             0.00045794
                     30,                0.88118,                 1.0524,                 1.2277,                  0.812,                0.76223,                0.82448,                0.57453,                 1.1094,                 1.1058,                 1.4775,             0.00045175,             0.00045175,             0.00045175
                     31,                0.86647,                 1.0156,                 1.2214,                0.73333,                0.78512,                   0.79,                0.55541,                 1.0661,                 1.1291,                 1.4281,             0.00044556,             0.00044556,             0.00044556
                     32,                0.84723,                0.97507,                 1.2121,                0.81565,                0.77496,                0.80905,                0.57126,                 1.0508,                  1.145,                 1.3637,             0.00043937,             0.00043937,             0.00043937
                     33,                0.83027,                 0.9856,                  1.175,                0.83164,                0.78876,                0.82409,                0.60989,                0.98978,                 1.0248,                 1.3568,             0.00043319,             0.00043319,             0.00043319
                     34,                0.83978,                0.95326,                  1.188,                0.82422,                0.79128,                0.82561,                0.60241,                0.99239,                 1.0149,                 1.3723,               0.000427,               0.000427,               0.000427
                     35,                0.78656,                0.85241,                 1.1526,                 0.8419,                0.79758,                0.85423,                0.61202,                 1.0205,                 1.0297,                 1.4075,             0.00042081,             0.00042081,             0.00042081
                     36,                0.81538,                0.90466,                 1.1796,                0.78136,                0.85584,                0.83713,                0.61605,                0.98069,                0.98926,                 1.3604,             0.00041462,             0.00041462,             0.00041462
